'SUP_LV623','DIST_0EP81','HUB_7T3P','{"power": {"generators": 124, "fuel_liters": 47291.0}, "medical": 23350, "shelter": {"units": 3171, "blankets": 23834}, "essentials": {"food_tons": 841.000, "water_liters": 717565.000}, "hygiene_kits": 25219}'
'SUP_PXUXP','DIST_IBM4M','HUB_GXGC','{"power": {"generators": 824, "fuel_liters": 74390.0}, "medical": 54516, "shelter": {"units": 1166, "blankets": 99022}, "essentials": {"food_tons": 404.600, "water_liters": 24397.000}, "hygiene_kits": 22004}'
'SUP_5HRYM','DIST_YB15N','HUB_CVN9','{"power": {"generators": 377, "fuel_liters": 96090.0}, "medical": 59459, "shelter": {"units": 1353, "blankets": 44982}, "essentials": {"food_tons": 164.700, "water_liters": 785490.000}, "hygiene_kits": 55952}'
'SUP_K73NE','DIST_9MF66','HUB_3FHQ','{"power": {"generators": 855, "fuel_liters": 97342.0}, "medical": 19265, "shelter": {"units": 5017, "blankets": 43555}, "essentials": {"food_tons": 534.700, "water_liters": 346695.000}, "hygiene_kits": 6087}'
'SUP_VBWES','DIST_QK7B5','HUB_XRHF','{"power": {"generators": 905, "fuel_liters": 96103.0}, "medical": 68305, "shelter": {"units": 880, "blankets": 76869}, "essentials": {"food_tons": 67.700, "water_liters": 101019.000}, "hygiene_kits": 83032}'
'SUP_I33YU','DIST_T4PIW','HUB_VCLI','{"power": {"generators": 114, "fuel_liters": 75822.0}, "medical": 76798, "shelter": {"units": 8383, "blankets": 63549}, "essentials": {"food_tons": 770.900, "water_liters": 723474.000}, "hygiene_kits": 55096}'
'SUP_PGWUK','DIST_PRCD9','HUB_YF8U','{"power": {"generators": 710, "fuel_liters": 58294.0}, "medical": 92324, "shelter": {"units": 9433, "blankets": 50174}, "essentials": {"food_tons": 278.300, "water_liters": 301235.000}, "hygiene_kits": 2882}'
'SUP_7HVB0','DIST_WF7Q3','HUB_S0QU','{"power": {"generators": 332, "fuel_liters": 54684.0}, "medical": 20783, "shelter": {"units": 9268, "blankets": 2793}, "essentials": {"food_tons": 174.900, "water_liters": 304022.000}, "hygiene_kits": 75271}'
'SUP_JLK4N','DIST_WVD9E','HUB_COY6','{"power": {"generators": 23, "fuel_liters": 62984.0}, "medical": 32331, "shelter": {"units": 9439, "blankets": 51832}, "essentials": {"food_tons": 214.500, "water_liters": 298601.000}, "hygiene_kits": 22181}'
'SUP_JMYSH','DIST_PKX8Z','HUB_8O92','{"power": {"generators": 337, "fuel_liters": 19611.0}, "medical": 9792, "shelter": {"units": 5803, "blankets": 14660}, "essentials": {"food_tons": 675.100, "water_liters": 568162.000}, "hygiene_kits": 32695}'
'SUP_VDOA4','DIST_VU1S9','HUB_8WG9','{"power": {"generators": 309, "fuel_liters": 69545.0}, "medical": 28810, "shelter": {"units": 1639, "blankets": 45035}, "essentials": {"food_tons": 416.100, "water_liters": 801865.000}, "hygiene_kits": 67264}'
'SUP_RG064','DIST_FSB54','HUB_WVHY','{"power": {"generators": 613, "fuel_liters": 23188.0}, "medical": 40563, "shelter": {"units": 7113, "blankets": 29627}, "essentials": {"food_tons": 192.100, "water_liters": 215653.000}, "hygiene_kits": 30540}'
'SUP_EEP2F','DIST_S9I7V','HUB_0OCN','{"power": {"generators": 818, "fuel_liters": 94520.0}, "medical": 4794, "shelter": {"units": 4618, "blankets": 5111}, "essentials": {"food_tons": 42.700, "water_liters": 561340.000}, "hygiene_kits": 42071}'
'SUP_0QZKF','DIST_PBAVU','HUB_V596','{"power": {"generators": 273, "fuel_liters": 47712.0}, "medical": 86374, "shelter": {"units": 2017, "blankets": 6656}, "essentials": {"food_tons": 135.100, "water_liters": 984078.000}, "hygiene_kits": 85752}'
'SUP_LSCPA','DIST_Z0YXO','HUB_8JGG','{"power": {"generators": 915, "fuel_liters": 69748.0}, "medical": 51114, "shelter": {"units": 9095, "blankets": 6403}, "essentials": {"food_tons": 621.700, "water_liters": 555932.000}, "hygiene_kits": 38022}'
'SUP_XUVB3','DIST_DI100','HUB_MFN4','{"power": {"generators": 252, "fuel_liters": 77530.0}, "medical": 35865, "shelter": {"units": 5753, "blankets": 43848}, "essentials": {"food_tons": 268.200, "water_liters": 735278.000}, "hygiene_kits": 68532}'
'SUP_IC009','DIST_SX8VA','HUB_XT44','{"power": {"generators": 645, "fuel_liters": 54089.0}, "medical": 3029, "shelter": {"units": 5492, "blankets": 2610}, "essentials": {"food_tons": 178.200, "water_liters": 657656.000}, "hygiene_kits": 8590}'
'SUP_G7631','DIST_3R3TZ','HUB_T2EM','{"power": {"generators": 751, "fuel_liters": 10983.0}, "medical": 21074, "shelter": {"units": 1640, "blankets": 8446}, "essentials": {"food_tons": 331.900, "water_liters": 853818.000}, "hygiene_kits": 81413}'
'SUP_CW693','DIST_0IW4C','HUB_WMYF','{"power": {"generators": 959, "fuel_liters": 77193.0}, "medical": 40963, "shelter": {"units": 5193, "blankets": 23277}, "essentials": {"food_tons": 873.200, "water_liters": 361120.000}, "hygiene_kits": 64850}'
'SUP_Z8GPB','DIST_SJZ4Q','HUB_D7US','{"power": {"generators": 36, "fuel_liters": 82179.0}, "medical": 47656, "shelter": {"units": 3549, "blankets": 92882}, "essentials": {"food_tons": 325.400, "water_liters": 411704.000}, "hygiene_kits": 11822}'
'SUP_J3SFI','DIST_412JC','HUB_1Y36','{"power": {"generators": 318, "fuel_liters": 78627.0}, "medical": 15210, "shelter": {"units": 6296, "blankets": 80141}, "essentials": {"food_tons": 210.100, "water_liters": 920103.000}, "hygiene_kits": 12592}'
'SUP_19BB0','DIST_5PIJW','HUB_9PS9','{"power": {"generators": 863, "fuel_liters": 80176.0}, "medical": 19279, "shelter": {"units": 2744, "blankets": 69900}, "essentials": {"food_tons": 451.600, "water_liters": 49446.000}, "hygiene_kits": 88943}'
'SUP_G1T4T','DIST_FAXKO','HUB_BTXX','{"power": {"generators": 878, "fuel_liters": 97965.0}, "medical": 82831, "shelter": {"units": 9545, "blankets": 68945}, "essentials": {"food_tons": 57.800, "water_liters": 368953.000}, "hygiene_kits": 4699}'
'SUP_2GUFN','DIST_58D9C','HUB_PPL2','{"power": {"generators": 825, "fuel_liters": 25563.0}, "medical": 61878, "shelter": {"units": 6528, "blankets": 26335}, "essentials": {"food_tons": 277.600, "water_liters": 153698.000}, "hygiene_kits": 50022}'
'SUP_1BODU','DIST_WSNUM','HUB_8RY2','{"power": {"generators": 572, "fuel_liters": 15926.0}, "medical": 96879, "shelter": {"units": 7219, "blankets": 96856}, "essentials": {"food_tons": 72.200, "water_liters": 76553.000}, "hygiene_kits": 12364}'
'SUP_ETNFW','DIST_MF3A9','HUB_HMMA','{"power": {"generators": 841, "fuel_liters": 29253.0}, "medical": 8951, "shelter": {"units": 9221, "blankets": 19162}, "essentials": {"food_tons": 708.600, "water_liters": 645152.000}, "hygiene_kits": 81425}'
'SUP_TD635','DIST_C95FA','HUB_AZ0K','{"power": {"generators": 421, "fuel_liters": 99431.0}, "medical": 24196, "shelter": {"units": 9744, "blankets": 49902}, "essentials": {"food_tons": 421.300, "water_liters": 15769.000}, "hygiene_kits": 34473}'
'SUP_C6EXS','DIST_TGGCK','HUB_C9EN','{"power": {"generators": 325, "fuel_liters": 95615.0}, "medical": 62586, "shelter": {"units": 5173, "blankets": 79743}, "essentials": {"food_tons": 465.500, "water_liters": 540131.000}, "hygiene_kits": 35759}'
'SUP_TB05Y','DIST_65NNR','HUB_VMZA','{"power": {"generators": 770, "fuel_liters": 63540.0}, "medical": 24846, "shelter": {"units": 2412, "blankets": 61998}, "essentials": {"food_tons": 293.500, "water_liters": 545412.000}, "hygiene_kits": 96545}'
'SUP_J00O7','DIST_YL96F','HUB_APXT','{"power": {"generators": 369, "fuel_liters": 72351.0}, "medical": 97250, "shelter": {"units": 8439, "blankets": 33844}, "essentials": {"food_tons": 123.600, "water_liters": 345123.000}, "hygiene_kits": 34395}'
'SUP_MFWZV','DIST_WZM4U','HUB_ACWR','{"power": {"generators": 866, "fuel_liters": 74745.0}, "medical": 65089, "shelter": {"units": 7960, "blankets": 15348}, "essentials": {"food_tons": 964.200, "water_liters": 717769.000}, "hygiene_kits": 28144}'
'SUP_HPZUK','DIST_SCJBD','HUB_OGZ9','{"power": {"generators": 691, "fuel_liters": 15729.0}, "medical": 80986, "shelter": {"units": 7778, "blankets": 73481}, "essentials": {"food_tons": 824.000, "water_liters": 693748.000}, "hygiene_kits": 44253}'
'SUP_QWNA9','DIST_DPG05','HUB_BR4D','{"power": {"generators": 278, "fuel_liters": 22421.0}, "medical": 17954, "shelter": {"units": 6172, "blankets": 92403}, "essentials": {"food_tons": 657.100, "water_liters": 696439.000}, "hygiene_kits": 64446}'
'SUP_YG6DG','DIST_298U3','HUB_5604','{"power": {"generators": 224, "fuel_liters": 16521.0}, "medical": 37280, "shelter": {"units": 7307, "blankets": 14400}, "essentials": {"food_tons": 680.200, "water_liters": 281964.000}, "hygiene_kits": 76828}'
'SUP_KWC55','DIST_X5Y5B','HUB_JAD4','{"power": {"generators": 795, "fuel_liters": 32726.0}, "medical": 76096, "shelter": {"units": 859, "blankets": 52524}, "essentials": {"food_tons": 129.100, "water_liters": 729663.000}, "hygiene_kits": 1115}'
'SUP_VQN62','DIST_6OW33','HUB_6BEJ','{"power": {"generators": 42, "fuel_liters": 65911.0}, "medical": 44455, "shelter": {"units": 4432, "blankets": 43819}, "essentials": {"food_tons": 474.500, "water_liters": 212359.000}, "hygiene_kits": 25279}'
'SUP_RBEWE','DIST_VU5I1','HUB_Q6U8','{"power": {"generators": 498, "fuel_liters": 82297.0}, "medical": 78216, "shelter": {"units": 5306, "blankets": 18546}, "essentials": {"food_tons": 705.000, "water_liters": 685583.000}, "hygiene_kits": 99677}'
'SUP_8G5M9','DIST_0PLQT','HUB_09F1','{"power": {"generators": 438, "fuel_liters": 72367.0}, "medical": 43218, "shelter": {"units": 6106, "blankets": 43066}, "essentials": {"food_tons": 273.800, "water_liters": 543297.000}, "hygiene_kits": 26242}'
'SUP_RWFIB','DIST_I0NZU','HUB_CXGU','{"power": {"generators": 999, "fuel_liters": 26683.0}, "medical": 77416, "shelter": {"units": 9259, "blankets": 66885}, "essentials": {"food_tons": 861.800, "water_liters": 781369.000}, "hygiene_kits": 14759}'
'SUP_NYM5M','DIST_P4L0L','HUB_A30Z','{"power": {"generators": 29, "fuel_liters": 94445.0}, "medical": 24734, "shelter": {"units": 5014, "blankets": 86781}, "essentials": {"food_tons": 236.200, "water_liters": 81863.000}, "hygiene_kits": 8815}'
'SUP_ESTI8','DIST_GHSAY','HUB_7I46','{"power": {"generators": 711, "fuel_liters": 15978.0}, "medical": 20346, "shelter": {"units": 3319, "blankets": 17083}, "essentials": {"food_tons": 212.900, "water_liters": 126667.000}, "hygiene_kits": 42512}'
'SUP_1JH3S','DIST_9QCXW','HUB_R3T7','{"power": {"generators": 385, "fuel_liters": 58047.0}, "medical": 80925, "shelter": {"units": 1521, "blankets": 4690}, "essentials": {"food_tons": 380.800, "water_liters": 623104.000}, "hygiene_kits": 32210}'
'SUP_ZP5MJ','DIST_X0ZPY','HUB_6ZYP','{"power": {"generators": 452, "fuel_liters": 69689.0}, "medical": 87438, "shelter": {"units": 4167, "blankets": 65350}, "essentials": {"food_tons": 688.900, "water_liters": 478835.000}, "hygiene_kits": 75616}'
'SUP_5WHIN','DIST_BOI88','HUB_NG97','{"power": {"generators": 108, "fuel_liters": 13720.0}, "medical": 90843, "shelter": {"units": 697, "blankets": 18752}, "essentials": {"food_tons": 653.900, "water_liters": 900705.000}, "hygiene_kits": 21695}'
'SUP_3HIUM','DIST_HLDBN','HUB_1SNF','{"power": {"generators": 430, "fuel_liters": 3450.0}, "medical": 48185, "shelter": {"units": 3906, "blankets": 79044}, "essentials": {"food_tons": 850.100, "water_liters": 357929.000}, "hygiene_kits": 85134}'
'SUP_Z4N3L','DIST_08EGN','HUB_S0DA','{"power": {"generators": 379, "fuel_liters": 59489.0}, "medical": 20052, "shelter": {"units": 4612, "blankets": 55836}, "essentials": {"food_tons": 157.400, "water_liters": 842856.000}, "hygiene_kits": 23147}'
'SUP_WX52U','DIST_FXBMC','HUB_2WZ1','{"power": {"generators": 548, "fuel_liters": 63952.0}, "medical": 84832, "shelter": {"units": 6722, "blankets": 67762}, "essentials": {"food_tons": 995.200, "water_liters": 132309.000}, "hygiene_kits": 16834}'
'SUP_FHLBJ','DIST_1ZQIC','HUB_0IHW','{"power": {"generators": 932, "fuel_liters": 42480.0}, "medical": 7126, "shelter": {"units": 933, "blankets": 58660}, "essentials": {"food_tons": 257.100, "water_liters": 137457.000}, "hygiene_kits": 23820}'
'SUP_74OEJ','DIST_FEN31','HUB_PI5V','{"power": {"generators": 419, "fuel_liters": 80053.0}, "medical": 47838, "shelter": {"units": 1601, "blankets": 70477}, "essentials": {"food_tons": 501.500, "water_liters": 61406.000}, "hygiene_kits": 54487}'
'SUP_J0BIS','DIST_USM2H','HUB_HX7K','{"power": {"generators": 977, "fuel_liters": 32513.0}, "medical": 8470, "shelter": {"units": 4926, "blankets": 83537}, "essentials": {"food_tons": 131.700, "water_liters": 431852.000}, "hygiene_kits": 20319}'
'SUP_CYQFK','DIST_FGQE7','HUB_M5A0','{"power": {"generators": 902, "fuel_liters": 50666.0}, "medical": 21589, "shelter": {"units": 5968, "blankets": 62392}, "essentials": {"food_tons": 684.400, "water_liters": 463219.000}, "hygiene_kits": 93055}'
'SUP_6QNAI','DIST_4767D','HUB_T4Z0','{"power": {"generators": 42, "fuel_liters": 92179.0}, "medical": 89230, "shelter": {"units": 7145, "blankets": 93781}, "essentials": {"food_tons": 273.300, "water_liters": 562180.000}, "hygiene_kits": 80462}'
'SUP_91K9A','DIST_TXERW','HUB_FLAQ','{"power": {"generators": 685, "fuel_liters": 46155.0}, "medical": 99217, "shelter": {"units": 2514, "blankets": 25550}, "essentials": {"food_tons": 14.600, "water_liters": 132002.000}, "hygiene_kits": 6953}'
'SUP_1NSBM','DIST_IPWCS','HUB_ZJJK','{"power": {"generators": 332, "fuel_liters": 21887.0}, "medical": 39317, "shelter": {"units": 3498, "blankets": 5679}, "essentials": {"food_tons": 159.700, "water_liters": 451481.000}, "hygiene_kits": 63694}'
'SUP_FVXZ0','DIST_S12MX','HUB_SP68','{"power": {"generators": 421, "fuel_liters": 71290.0}, "medical": 65619, "shelter": {"units": 4782, "blankets": 98522}, "essentials": {"food_tons": 423.600, "water_liters": 429309.000}, "hygiene_kits": 22554}'
'SUP_LKVMP','DIST_FJ5CR','HUB_VXJ6','{"power": {"generators": 692, "fuel_liters": 88845.0}, "medical": 61333, "shelter": {"units": 4364, "blankets": 92230}, "essentials": {"food_tons": 313.600, "water_liters": 639107.000}, "hygiene_kits": 53505}'
'SUP_C90QO','DIST_ZY4O2','HUB_H6WQ','{"power": {"generators": 894, "fuel_liters": 19993.0}, "medical": 4566, "shelter": {"units": 2348, "blankets": 15965}, "essentials": {"food_tons": 900.500, "water_liters": 140100.000}, "hygiene_kits": 28786}'
'SUP_67LSA','DIST_40HHV','HUB_EFNW','{"power": {"generators": 36, "fuel_liters": 86172.0}, "medical": 67669, "shelter": {"units": 8958, "blankets": 75644}, "essentials": {"food_tons": 668.100, "water_liters": 648778.000}, "hygiene_kits": 32986}'
'SUP_2J8GP','DIST_8NVU3','HUB_DO3J','{"power": {"generators": 463, "fuel_liters": 16868.0}, "medical": 71669, "shelter": {"units": 5014, "blankets": 45528}, "essentials": {"food_tons": 647.400, "water_liters": 412869.000}, "hygiene_kits": 66050}'
'SUP_DDZAI','DIST_B6KD2','HUB_7UPY','{"power": {"generators": 175, "fuel_liters": 16704.0}, "medical": 65919, "shelter": {"units": 821, "blankets": 90391}, "essentials": {"food_tons": 941.400, "water_liters": 459129.000}, "hygiene_kits": 31771}'
'SUP_BQFUH','DIST_UDW6O','HUB_RESH','{"power": {"generators": 146, "fuel_liters": 51598.0}, "medical": 93765, "shelter": {"units": 2066, "blankets": 87552}, "essentials": {"food_tons": 451.900, "water_liters": 683669.000}, "hygiene_kits": 16764}'
'SUP_KXHBC','DIST_F3C7C','HUB_SUY5','{"power": {"generators": 507, "fuel_liters": 68284.0}, "medical": 21460, "shelter": {"units": 1523, "blankets": 66125}, "essentials": {"food_tons": 142.200, "water_liters": 726125.000}, "hygiene_kits": 37294}'
'SUP_MCFGW','DIST_XWD9L','HUB_XLRX','{"power": {"generators": 914, "fuel_liters": 39092.0}, "medical": 27788, "shelter": {"units": 2996, "blankets": 82435}, "essentials": {"food_tons": 581.700, "water_liters": 576889.000}, "hygiene_kits": 10313}'
'SUP_VMKG3','DIST_4KMHF','HUB_KBCM','{"power": {"generators": 751, "fuel_liters": 53176.0}, "medical": 16005, "shelter": {"units": 7234, "blankets": 63825}, "essentials": {"food_tons": 993.000, "water_liters": 370984.000}, "hygiene_kits": 85404}'
'SUP_G41XX','DIST_DGJUK','HUB_4XC8','{"power": {"generators": 480, "fuel_liters": 9236.0}, "medical": 78835, "shelter": {"units": 7178, "blankets": 31317}, "essentials": {"food_tons": 199.200, "water_liters": 270773.000}, "hygiene_kits": 96419}'
'SUP_BAH1O','DIST_ZM7RW','HUB_LMBC','{"power": {"generators": 200, "fuel_liters": 66616.0}, "medical": 68786, "shelter": {"units": 2953, "blankets": 67522}, "essentials": {"food_tons": 871.000, "water_liters": 729537.000}, "hygiene_kits": 44615}'
'SUP_UTEAE','DIST_NN0DN','HUB_DMWB','{"power": {"generators": 874, "fuel_liters": 46253.0}, "medical": 98244, "shelter": {"units": 6371, "blankets": 9278}, "essentials": {"food_tons": 351.300, "water_liters": 101835.000}, "hygiene_kits": 79342}'
'SUP_A5788','DIST_12696','HUB_T0F7','{"power": {"generators": 231, "fuel_liters": 52128.0}, "medical": 21673, "shelter": {"units": 8191, "blankets": 67142}, "essentials": {"food_tons": 756.000, "water_liters": 781597.000}, "hygiene_kits": 41181}'
